time,Test_id,BL_x,BL_y,BL_z,BP_x,BP_y,BP_z,AP_x,AP_y,AP_z,AL_x,AL_y,AL_z
2021-01-02 12:36:00,1,0.1478,0.10273,0.12967,0.11546,0.13768,0.17997,0.10977,0.12062,0.10765,0.14813,0.15859,0.12142
2021-01-02 12:36:00,1,0.1696,0.1491,0.11908,0.1216,0.10888,0.11114,0.17388,0.13859,0.13823,0.10523,0.13682,0.11491
2021-01-02 12:36:00,1,0.1845,0.11614,0.13432,0.16274,0.1687,0.12941,0.14327,0.12122,0.13588,0.15005,0.13866,0.12856
2021-01-02 12:36:00,1,0.13687,0.13772,0.1126,0.18873,0.10348,0.13324,0.13013,0.19672,0.1294,0.13847,0.1409,0.14937
2021-01-02 12:36:00,1,0.16233,0.1273,0.12196,0.13739,0.12963,0.12792,0.12353,0.14576,0.15173,0.15799,0.11518,0.13208
2021-01-02 12:36:00,1,0.13581,0.16533,0.12085,0.1164,0.146,0.14662,0.18078,0.12245,0.13296,0.18698,0.16625,0.12223
2021-01-02 12:36:00,1,0.17274,0.11216,0.11925,0.11804,0.14855,0.1284,0.15164,0.13842,0.13485,0.13697,0.16672,0.14347
2021-01-02 12:36:00,1,0.1718,0.16584,0.10609,0.12336,0.15095,0.14155,0.11395,0.13716,0.16487,0.15951,0.12366,0.1541
2021-01-02 12:36:00,1,0.19385,0.13378,0.13331,0.18193,0.13048,0.12867,0.15591,0.19006,0.14321,0.12313,0.12941,0.13204
2021-01-02 12:36:00,1,0.17378,0.15842,0.13904,0.15772,0.13686,0.1273,0.12953,0.15466,0.11239,0.10932,0.14097,0.14374
2021-01-02 12:36:00,1,0.15327,0.15497,0.12107,0.16591,0.16012,0.16919,0.14517,0.10479,0.11775,0.12871,0.11251,0.14253
2021-01-02 12:36:00,1,0.15955,0.14435,0.11332,0.12676,0.14022,0.13861,0.1593,0.14991,0.12597,0.13731,0.12268,0.12293
2021-01-02 12:36:00,1,0.13022,0.14499,0.11524,0.19596,0.1216,0.13329,0.15524,0.1764,0.12312,0.15883,0.12599,0.14735
2021-01-02 12:36:00,1,0.12837,0.1481,0.13463,0.16536,0.14805,0.15636,0.16353,0.11916,0.13138,0.15799,0.12406,0.14776
2021-01-02 12:36:00,1,0.13923,0.11303,0.13558,0.16085,0.1352,0.14825,0.13674,0.15548,0.1231,0.11908,0.13576,0.13629
2021-01-02 12:37:00,1,0.20648,0.12809,0.10637,0.12031,0.13149,0.14297,0.13428,0.1662,0.10076,0.1632,0.12379,0.14736
2021-01-02 12:37:00,1,0.19965,0.14239,0.11522,0.11739,0.12032,0.10887,0.17767,0.18985,0.104,0.14104,0.12234,0.11429
2021-01-02 12:37:00,1,0.17669,0.09809,0.12514,0.12304,0.19237,0.15855,0.14342,0.19039,0.12062,0.1135,0.17334,0.16968
2021-01-02 12:37:00,1,0.14794,0.11886,0.12157,0.12572,0.13238,0.12619,0.15082,0.15358,0.15205,0.15304,0.13613,0.14252
2021-01-02 12:37:00,1,0.15874,0.12194,0.12959,0.15798,0.12612,0.15811,0.1583,0.1261,0.13084,0.14956,0.15408,0.1271
2021-01-02 12:37:00,1,0.16922,0.17348,0.12355,0.14308,0.11241,0.1451,0.15674,0.16754,0.14762,0.14555,0.12215,0.13424
2021-01-02 12:37:00,1,0.16541,0.1297,0.11921,0.13531,0.12939,0.16542,0.14024,0.14867,0.12975,0.14989,0.1507,0.14246
2021-01-02 12:37:00,1,0.14882,0.12353,0.09673,0.16482,0.12854,0.14241,0.17164,0.15884,0.12555,0.13661,0.14058,0.13161
2021-01-02 12:37:00,2,0.1613,0.17357,0.14642,0.25746,0.14996,0.20817,2.64656,1.27435,1.15,2.73254,1.05592,2.08639
2021-01-02 12:37:00,2,0.1298,0.10493,0.13576,0.1582,0.15065,0.16885,2.47275,1.57639,1.2138,2.92844,0.82199,2.23233
